trt,value
1,850.5
1,453.6
1,878.85
1,623.7
1,510.3
1,765.45
1,680.4
1,595.35
1,538.65
1,850.5
1,793.8
1,1020.6
1,708.75
1,652.05
1,623.7
1,396.9
1,680.4
1,652.05
1,538.65
1,680.4
2,510.3
2,963.9
2,652.05
2,1020.6
2,878.85
2,567
2,538.65
2,567
2,510.3
2,425.25
2,567
2,623.7
2,538.65
2,453.6
2,481.95
2,368.55
2,567
2,595.35
2,567
2,595.35
3,992.25
3,850.5
3,1474.2
3,510.3
3,793.8
3,453.6
3,935.55
3,1190.7
3,481.95
3,623.7
3,1077.3
3,850.5
3,680.4
3,737.1
3,737.1
3,652.05
3,567
3,453.6
3,652.05
3,567
